,A,B,C
Australia,162.13887597460794,0.16859387491219527,-70.80020526156895
Austria,228.55980370662462,0.20718288881898975,-156.75205485207783
Belgium,72.44199968790421,0.2656245247756745,56.28070110032377
Brazil,88.33301359445798,0.3096430732772131,15.291436866558412
Canada,139.59304091072676,0.22343131477483408,-46.906916883602285
China,9.593059997456104,0.6243184265661749,497.71121809249456
France,193.7535906850751,0.2275849127559337,-132.0617238179491
Germany,367.59554984213287,0.17651670641989653,-280.85543839861487
Iran,906.3892202268693,0.20150692543239074,-909.9608048168561
Israel,48.494664575371544,0.28387723437541396,64.57697072195745
Italy,498.01038450235814,0.19577636227859374,-398.7432489136678
"Korea, South",439.7590563851668,0.22399510515228938,-311.6678443332094
Netherlands,197.72606514798943,0.20090333370551997,-54.48702626096136
Norway,1142.4025505622428,0.0791928749976284,-1116.942269981112
Portugal,211.86155026131374,0.232681824443353,-104.4722590591154
Russia,103.85956172939157,0.22679390655214896,28.80857567967934
Spain,265.0526273360766,0.23405461072056147,-229.6955235061903
Sweden,1003.6397339664118,0.07440912159594426,-945.0729106028208
Switzerland,35.36589998973524,0.4018227318505725,175.34996887493705
Turkey,626.2132806580901,0.276226348014254,-443.7073012978532
US,129.48902241716564,0.28434529857276464,-23.751720865825984
United Kingdom,106.77539903730228,0.2427295531095562,22.92912761165175
